# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=31645
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	8.270242288061276;	0.9936294971945727;
-2212;	0.938;	-1;	1.2610697257869012;	0.8023765738811849;
-2212;	0.938;	-1;	1.2368875926175547;	0.7967931609540335;
-2212;	0.938;	-1;	2.2017428071309784;	0.9199907353427569;
-2212;	0.938;	-1;	3.2162393879381863;	0.9600056018159038;
-2212;	0.938;	-1;	4.901169497129129;	0.9821745025421195;
-2212;	0.938;	-1;	12.659315905673418;	0.9972661704739442;
-2212;	0.938;	-1;	16.880251970422833;	0.9984596709934743;
-2212;	0.938;	-1;	6.814025871762817;	0.9906578068596885;
-2212;	0.938;	-1;	11.639044169867258;	0.9967682943124946;
-2212;	0.938;	-1;	15.282834463008335;	0.9981217950551834;
-2212;	0.938;	-1;	3.1016625009818526;	0.9571867970560322;
-2212;	0.938;	-1;	5.0776749965952925;	0.9833620144690627;
-2212;	0.938;	-1;	12.896281172659835;	0.9973653209881926;
-2212;	0.938;	-1;	2.6417804644250817;	0.9423609453477805;
-2212;	0.938;	-1;	11.58491915847384;	0.9967381744952953;
-2212;	0.938;	-1;	2.3409980967958948;	0.9282576546998405;
-2212;	0.938;	-1;	16.661519661050846;	0.9984190591565986;
-2212;	0.938;	-1;	6.665026478876509;	0.9902416036086239;
-2212;	0.938;	-1;	1.2840928570264107;	0.8075036103638782;
-2212;	0.938;	-1;	3.1476194188435485;	0.9583514199874801;
-2212;	0.938;	-1;	1.397290525351793;	0.8302708410481376;
-2212;	0.938;	-1;	22.911008418028768;	0.999162968643281;
-2212;	0.938;	-1;	7.930467186557422;	0.9930777008784103;
-2212;	0.938;	-1;	4.674763110308585;	0.980457571709121;
-2212;	0.938;	-1;	5.573790558959315;	0.9861334838081185;
-2212;	0.938;	-1;	4.934348953153292;	0.9824071526679033;
-2212;	0.938;	-1;	22.306003542417542;	0.9991170082755685;
-2212;	0.938;	-1;	2.011888894546615;	0.9063352545030029;
-2212;	0.938;	-1;	14.430538400225615;	0.9978941033452992;
-2212;	0.938;	-1;	9.495269869589015;	0.9951560842606506;
-2212;	0.938;	-1;	1.5039219892816915;	0.8484927054712127;
-2212;	0.938;	-1;	11.35671163031515;	0.9966064410974899;
-2212;	0.938;	-1;	21.51856204435984;	0.9990512958071414;
-2212;	0.938;	-1;	4.699609295142523;	0.9806577210910266;
-2212;	0.938;	-1;	11.459834163126796;	0.9966669372700084;
-2212;	0.938;	-1;	8.379331963598352;	0.9937927601523444;
-2212;	0.938;	-1;	2.7785787997652682;	0.9474685493546682;
-2212;	0.938;	-1;	6.138582906183967;	0.9885260130066988;
-2212;	0.938;	-1;	12.525175990880326;	0.9972075467075785;
-2212;	0.938;	-1;	7.054224304233315;	0.9912750242526486;
-2212;	0.938;	-1;	1.8310813736986131;	0.8900179118602256;
-2212;	0.938;	-1;	8.175419654281793;	0.9934823136015877;
