# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=104629527
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.275230605447052;	2.2839814923910793;	16461
2.2839814923910793;	2.2927323793351064;	16530
2.2927323793351064;	2.3014832662791336;	16524
2.3014832662791336;	2.3102341532231607;	16254
2.3102341532231607;	2.318985040167188;	16057
2.318985040167188;	2.3277359271112146;	15512
2.3277359271112146;	2.3364868140552417;	15363
2.3364868140552417;	2.345237700999269;	15260
2.345237700999269;	2.353988587943296;	15110
2.353988587943296;	2.362739474887323;	14797
2.362739474887323;	2.3714903618313503;	14698
2.3714903618313503;	2.3802412487753775;	14495
2.3802412487753775;	2.3889921357194046;	14301
2.3889921357194046;	2.3977430226634318;	14399
2.3977430226634318;	2.406493909607459;	13676
2.406493909607459;	2.415244796551486;	13816
2.415244796551486;	2.423995683495513;	13783
2.423995683495513;	2.4327465704395403;	13394
2.4327465704395403;	2.4414974573835675;	13196
2.4414974573835675;	2.4502483443275946;	12798
2.4502483443275946;	2.458999231271622;	12718
2.458999231271622;	2.467750118215649;	12680
2.467750118215649;	2.476501005159676;	12492
2.476501005159676;	2.485251892103703;	12286
2.485251892103703;	2.49400277904773;	12187
2.49400277904773;	2.502753665991757;	11975
2.502753665991757;	2.5115045529357842;	11853
2.5115045529357842;	2.5202554398798114;	11671
2.5202554398798114;	2.5290063268238385;	11356
2.5290063268238385;	2.5377572137678657;	11368
2.5377572137678657;	2.546508100711893;	11161
2.546508100711893;	2.55525898765592;	10711
2.55525898765592;	2.564009874599947;	10845
2.564009874599947;	2.5727607615439743;	10466
2.5727607615439743;	2.5815116484880014;	10334
2.5815116484880014;	2.5902625354320286;	10186
2.5902625354320286;	2.5990134223760557;	10038
2.5990134223760557;	2.607764309320083;	9849
2.607764309320083;	2.61651519626411;	9736
2.61651519626411;	2.625266083208137;	9378
2.625266083208137;	2.6340169701521643;	9294
2.6340169701521643;	2.642767857096191;	9194
2.642767857096191;	2.651518744040218;	8978
2.651518744040218;	2.6602696309842453;	8703
2.6602696309842453;	2.6690205179282724;	8736
2.6690205179282724;	2.6777714048722996;	8610
2.6777714048722996;	2.6865222918163267;	8474
2.6865222918163267;	2.695273178760354;	8193
2.695273178760354;	2.704024065704381;	8150
2.704024065704381;	2.712774952648408;	7913
2.712774952648408;	2.7215258395924353;	7615
2.7215258395924353;	2.7302767265364625;	7658
2.7302767265364625;	2.7390276134804896;	7365
2.7390276134804896;	2.7477785004245168;	7463
2.7477785004245168;	2.756529387368544;	7167
2.756529387368544;	2.765280274312571;	6936
2.765280274312571;	2.774031161256598;	6814
2.774031161256598;	2.7827820482006254;	6712
2.7827820482006254;	2.7915329351446525;	6579
2.7915329351446525;	2.800283822088679;	6268
2.800283822088679;	2.8090347090327064;	6188
2.8090347090327064;	2.8177855959767335;	5959
2.8177855959767335;	2.8265364829207607;	5745
2.8265364829207607;	2.835287369864788;	5666
2.835287369864788;	2.844038256808815;	5453
2.844038256808815;	2.852789143752842;	5345
2.852789143752842;	2.8615400306968692;	5099
2.8615400306968692;	2.8702909176408964;	4964
2.8702909176408964;	2.8790418045849235;	4886
2.8790418045849235;	2.8877926915289507;	4591
2.8877926915289507;	2.896543578472978;	4555
2.896543578472978;	2.905294465417005;	4525
2.905294465417005;	2.914045352361032;	4373
2.914045352361032;	2.9227962393050593;	4032
2.9227962393050593;	2.9315471262490864;	3978
2.9315471262490864;	2.9402980131931136;	3736
2.9402980131931136;	2.9490489001371407;	3635
2.9490489001371407;	2.957799787081168;	3403
2.957799787081168;	2.9665506740251946;	3360
2.9665506740251946;	2.9753015609692217;	3086
2.9753015609692217;	2.984052447913249;	3104
2.984052447913249;	2.992803334857276;	2881
2.992803334857276;	3.001554221801303;	2633
3.001554221801303;	3.0103051087453303;	2558
3.0103051087453303;	3.0190559956893575;	2201
3.0190559956893575;	3.0278068826333846;	2218
3.0278068826333846;	3.0365577695774117;	1989
3.0365577695774117;	3.045308656521439;	1930
3.045308656521439;	3.054059543465466;	1728
3.054059543465466;	3.062810430409493;	1670
3.062810430409493;	3.0715613173535203;	1485
3.0715613173535203;	3.0803122042975475;	1313
3.0803122042975475;	3.0890630912415746;	1169
3.0890630912415746;	3.097813978185602;	970
3.097813978185602;	3.106564865129629;	859
3.106564865129629;	3.115315752073656;	708
3.115315752073656;	3.124066639017683;	540
3.124066639017683;	3.13281752596171;	386
3.13281752596171;	3.141568412905737;	238
3.141568412905737;	3.150319299849764;	67
