# hega-rs ver.0.2.9 statistics: 
#UrQmdF19 in Lab: false
FinEnergy;	ECharge;	BCharge;	LCharge;	FinCnt;	FinChargedCnt;	PseudorapidityFilterCnt(-0.5, 0.5);	PseudorapidityFilterCnt(-1.0, 1.0);	PseudorapidityFilterCnt(-1.5, 1.5);	PseudorapidityFilterCnt(3.5, 5.8);	PseudorapidityFilterCnt(-5.8, -3.5);	PseudorapidityFilterCnt(4.4, 5.8);	PseudorapidityFilterCnt(-5.8, -4.4)
7025.4395076962;	172;	408;	0;	1437;	830;	37;	98;	173;	168;	0;	45;	0
6969.574498580675;	172;	408;	0;	1574;	902;	32;	88;	183;	145;	0;	36;	0
6924.730075678312;	172;	407;	0;	1291;	723;	26;	63;	119;	138;	0;	46;	0
6952.941458455399;	172;	408;	0;	1457;	814;	24;	76;	159;	148;	0;	30;	0
6912.490150781193;	172;	407;	0;	1203;	699;	37;	88;	154;	151;	0;	51;	0
6954.328692677117;	170;	406;	0;	1323;	771;	40;	96;	164;	150;	0;	39;	0
6920.017963857509;	172;	408;	0;	1635;	956;	32;	88;	180;	158;	0;	45;	0
6911.886453427893;	172;	407;	0;	1454;	827;	33;	93;	165;	151;	0;	43;	0
6880.62182839688;	172;	408;	0;	1493;	864;	31;	87;	156;	161;	0;	35;	0
6917.508732644875;	172;	408;	0;	1557;	928;	46;	98;	189;	171;	0;	47;	0
6916.0085253736115;	172;	408;	0;	1206;	714;	39;	101;	185;	146;	0;	41;	0
6877.557952712176;	172;	405;	0;	1158;	677;	37;	81;	158;	127;	0;	43;	0
6944.0187600350655;	172;	408;	0;	1609;	944;	42;	101;	190;	180;	0;	42;	0
6934.3432570286195;	172;	408;	0;	1447;	838;	34;	84;	165;	145;	0;	39;	0
6881.141910123764;	170;	406;	0;	1159;	665;	37;	94;	162;	130;	0;	40;	0
6944.113823232464;	172;	408;	0;	1644;	968;	39;	91;	182;	166;	0;	44;	0
6956.662676266258;	172;	408;	0;	1466;	834;	37;	94;	169;	139;	0;	42;	0
6978.783668781298;	172;	408;	0;	1435;	806;	48;	100;	175;	141;	0;	33;	0
6896.2228682583245;	172;	408;	0;	1513;	876;	31;	75;	176;	153;	0;	35;	0
6937.712463340725;	170;	407;	0;	1476;	840;	38;	93;	175;	145;	0;	50;	0
7009.889551453776;	172;	408;	0;	1613;	972;	43;	100;	201;	160;	0;	41;	0
6952.275992058433;	172;	408;	0;	1160;	650;	42;	95;	154;	125;	0;	52;	0
6890.5942736288935;	171;	408;	0;	1424;	799;	35;	77;	162;	138;	0;	46;	0
6917.193319445453;	172;	408;	0;	1593;	926;	32;	84;	181;	137;	0;	32;	0
6985.904761759407;	172;	407;	0;	1398;	793;	32;	84;	163;	140;	0;	44;	0
6983.997248432374;	172;	408;	0;	1614;	922;	39;	94;	184;	150;	0;	35;	0
6919.989716211791;	172;	408;	0;	1265;	736;	37;	84;	155;	138;	0;	52;	0
6890.07604425285;	172;	406;	0;	1285;	758;	50;	102;	163;	144;	0;	41;	0
6936.271876889922;	172;	408;	0;	1262;	714;	34;	83;	149;	134;	0;	40;	0
