# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=14628
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.3961894994949648;	0.8300674385190607;
-2212;	0.938;	-1;	4.158777772632844;	0.9754953423922559;
-2212;	0.938;	-1;	6.141881202460928;	0.9885381221477237;
-2212;	0.938;	-1;	2.054268101693642;	0.9096575626002501;
-2212;	0.938;	-1;	20.921284744288478;	0.9989964365536704;
-2212;	0.938;	-1;	8.92730914199934;	0.994525345953458;
-2212;	0.938;	-1;	11.581513991296648;	0.9967362655273665;
-2212;	0.938;	-1;	21.790936680594616;	0.9990748314420951;
-2212;	0.938;	-1;	16.980713370740585;	0.9984778014167698;
-2212;	0.938;	-1;	0.9954900821349252;	0.727810122318936;
-2212;	0.938;	-1;	2.6948705985857653;	0.9444256901297535;
-2212;	0.938;	-1;	1.7303352631678663;	0.8791355143200915;
-2212;	0.938;	-1;	9.197463589013767;	0.9948397850680033;
-2212;	0.938;	-1;	4.620478552516941;	0.9800094374774813;
-2212;	0.938;	-1;	6.036408530268722;	0.9881412409518447;
-2212;	0.938;	-1;	5.279702105891392;	0.984582224319322;
-2212;	0.938;	-1;	4.956922959427552;	0.9825628675783359;
-2212;	0.938;	-1;	8.278912621721767;	0.9936427066932714;
-2212;	0.938;	-1;	1.7815705223159144;	0.8848503948029635;
-2212;	0.938;	-1;	0.4290228468148987;	0.4159384570004092;
-2212;	0.938;	-1;	0.98449860325648;	0.7239975183871787;
-2212;	0.938;	-1;	0.6093088275382197;	0.5447424774174529;
-2212;	0.938;	-1;	12.351172800133751;	0.9971286533225984;
-2212;	0.938;	-1;	2.052740385486923;	0.9095407440512703;
-2212;	0.938;	-1;	14.850093677474764;	0.9980110671751297;
-2212;	0.938;	-1;	9.777459755201706;	0.9954297663577256;
-2212;	0.938;	-1;	7.0270504502413385;	0.9912083032043373;
-2212;	0.938;	-1;	1.1052342372103752;	0.7624323904201964;
-2212;	0.938;	-1;	6.900205845777356;	0.9908865474661946;
-2212;	0.938;	-1;	6.665107353506621;	0.9902418369695296;
-2212;	0.938;	-1;	6.2481774126975616;	0.9889183886745273;
-2212;	0.938;	-1;	5.829367517880135;	0.9873001743098567;
-2212;	0.938;	-1;	5.465935227240623;	0.9855927355669011;
-2212;	0.938;	-1;	8.459310369150185;	0.9939085125888851;
-2212;	0.938;	-1;	1.8889662992097027;	0.8956534044784408;
-2212;	0.938;	-1;	4.875392475972904;	0.9819905863674;
-2212;	0.938;	-1;	5.806676884022479;	0.9872026275700202;
-2212;	0.938;	-1;	1.4936051892692395;	0.8468504390330778;
-2212;	0.938;	-1;	5.6173264628843675;	0.9863432240273123;
-2212;	0.938;	-1;	29.587958212542954;	0.9994978673263486;
-2212;	0.938;	-1;	9.517947174980536;	0.9951789723805957;
-2212;	0.938;	-1;	3.940981024809559;	0.9728245004745832;
-2212;	0.938;	-1;	11.200605250891801;	0.9965116855334563;
-2212;	0.938;	-1;	0.6595296406644966;	0.5751758128063701;
-2212;	0.938;	-1;	10.631480212431098;	0.9961304388752188;
-2212;	0.938;	-1;	4.3099119947443665;	0.9771263283004996;
-2212;	0.938;	-1;	18.01527890809493;	0.9986472679535555;
-2212;	0.938;	-1;	2.273533995963333;	0.9244146302128174;
-2212;	0.938;	-1;	21.17668933981419;	0.9990204624853146;
-2212;	0.938;	-1;	2.9363182900179607;	0.9525767557529979;
-2212;	0.938;	-1;	8.848589595306702;	0.9944283207439335;
-2212;	0.938;	-1;	19.65117932287691;	0.9988627469828846;
-2212;	0.938;	-1;	13.700763851370661;	0.9976645925486891;
-2212;	0.938;	-1;	0.9329441388432642;	0.7051933883866672;
-2212;	0.938;	-1;	22.281859699456778;	0.999115096221607;
-2212;	0.938;	-1;	4.467509082595804;	0.9786612904298702;
-2212;	0.938;	-1;	10.01585324147543;	0.9956433323984997;
-2212;	0.938;	-1;	1.263932168598062;	0.8030238781757919;
-2212;	0.938;	-1;	1.348766531571454;	0.8209829144768197;
-2212;	0.938;	-1;	2.4308212601711383;	0.9329504231472178;
-2212;	0.938;	-1;	12.018660510767495;	0.9969683080235555;
-2212;	0.938;	-1;	5.35062357000051;	0.9849791332135284;
-2212;	0.938;	-1;	17.879681580281066;	0.9986267146470762;
-2212;	0.938;	-1;	5.039339428880436;	0.9831143127082564;
-2212;	0.938;	-1;	16.621463439944872;	0.9984114482956649;
-2212;	0.938;	-1;	5.94344382902169;	0.9877741897141237;
-2212;	0.938;	-1;	3.6195800325457648;	0.9680235067277639;
-2212;	0.938;	-1;	23.71412497903045;	0.9992186381041142;
-2212;	0.938;	-1;	2.454053618535033;	0.9340917771542463;
-2212;	0.938;	-1;	28.688153945455554;	0.999465900179145;
-2212;	0.938;	-1;	2.319663991618288;	0.9270734701340008;
-2212;	0.938;	-1;	9.519233424212478;	0.9951802657343439;
-2212;	0.938;	-1;	1.0727520570681743;	0.7528054997573274;
-2212;	0.938;	-1;	11.703768938564192;	0.9968037690426145;
-2212;	0.938;	-1;	4.214240568848082;	0.9761133268478183;
-2212;	0.938;	-1;	8.865942495436174;	0.9944499287212913;
-2212;	0.938;	-1;	3.2206248017690045;	0.960108019371554;
-2212;	0.938;	-1;	9.375539121803556;	0.9950325016196242;
-2212;	0.938;	-1;	8.137874750495548;	0.9934226282824241;
-2212;	0.938;	-1;	5.233020016976049;	0.9843123914025492;
-2212;	0.938;	-1;	10.741925374877866;	0.9962091515156187;
-2212;	0.938;	-1;	12.912347255386257;	0.9973718474571596;
-2212;	0.938;	-1;	28.162353891439686;	0.9994457871083604;
-2212;	0.938;	-1;	11.950725722524888;	0.9969339011110651;
-2212;	0.938;	-1;	22.97260432058368;	0.9991674456540953;
-2212;	0.938;	-1;	9.348345047670684;	0.995003775502382;
-2212;	0.938;	-1;	4.284072341108282;	0.9768591012056149;
-2212;	0.938;	-1;	3.5681316408997583;	0.9671400142329538;
-2212;	0.938;	-1;	5.450253298516501;	0.9855115044101942;
-2212;	0.938;	-1;	1.9319287386422928;	0.8995750118133323;
-2212;	0.938;	-1;	3.0744274515772854;	0.9564739364538095;
-2212;	0.938;	-1;	6.235555414817079;	0.9888742272042431;
-2212;	0.938;	-1;	0.4218790586578101;	0.4101860269511959;
-2212;	0.938;	-1;	9.67296440777097;	0.9953311843158346;
-2212;	0.938;	-1;	2.746225422182964;	0.9463219810956687;
-2212;	0.938;	-1;	5.718827293576979;	0.9868142370442365;
-2212;	0.938;	-1;	7.951516540573377;	0.9931139247757004;
-2212;	0.938;	-1;	5.964981953511762;	0.9878607210506608;
-2212;	0.938;	-1;	3.7390983800286666;	0.969945312296247;
-2212;	0.938;	-1;	9.3548935784299;	0.9950107156375215;
-2212;	0.938;	-1;	13.499245413598828;	0.9975945988496437;
-2212;	0.938;	-1;	12.35698530810509;	0.9971313423393247;
-2212;	0.938;	-1;	17.91219577745007;	0.9986316854753722;
-2212;	0.938;	-1;	4.708770545821621;	0.9807307521493128;
-2212;	0.938;	-1;	2.4215922193020027;	0.9324890679335394;
-2212;	0.938;	-1;	6.996929708183011;	0.9911334522968186;
-2212;	0.938;	-1;	1.4059848799329244;	0.8318654462385248;
-2212;	0.938;	-1;	3.5969844605743018;	0.9676398564684273;
-2212;	0.938;	-1;	11.34492603431512;	0.9965994226288155;
-2212;	0.938;	-1;	4.236620204892692;	0.976356163760328;
-2212;	0.938;	-1;	1.748812136775131;	0.8812415028584312;
-2212;	0.938;	-1;	2.479821581398043;	0.9353250610119809;
-2212;	0.938;	-1;	1.9167445850475227;	0.8982132793831876;
-2212;	0.938;	-1;	7.387769200706598;	0.9920359009014172;
-2212;	0.938;	-1;	13.67368729101792;	0.9976553668046899;
-2212;	0.938;	-1;	3.2485799879839807;	0.9607519196120878;
-2212;	0.938;	-1;	6.052278579828674;	0.9882022557715191;
-2212;	0.938;	-1;	29.51744091984052;	0.9994954670838652;
-2212;	0.938;	-1;	6.008395266340257;	0.9880323854980595;
-2212;	0.938;	-1;	9.998089491206658;	0.9956279390058984;
-2212;	0.938;	-1;	12.11468006323997;	0.9970159612117206;
-2212;	0.938;	-1;	9.706616336620913;	0.9953632764758966;
-2212;	0.938;	-1;	2.713456424766022;	0.9451230921174598;
-2212;	0.938;	-1;	6.8883251371325676;	0.990855513588067;
-2212;	0.938;	-1;	10.285657535874893;	0.9958674989919742;
