# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=168568267
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
3.0103051087453303;	3.0190559956893575;	3493
3.0190559956893575;	3.0278068826333846;	3264
3.0278068826333846;	3.0365577695774117;	3084
3.0365577695774117;	3.045308656521439;	2827
3.045308656521439;	3.054059543465466;	2524
3.054059543465466;	3.062810430409493;	2393
3.062810430409493;	3.0715613173535203;	2107
3.0715613173535203;	3.0803122042975475;	1888
3.0803122042975475;	3.0890630912415746;	1664
3.0890630912415746;	3.097813978185602;	1400
3.097813978185602;	3.106564865129629;	1197
3.106564865129629;	3.115315752073656;	1035
3.115315752073656;	3.124066639017683;	758
3.124066639017683;	3.13281752596171;	543
3.13281752596171;	3.141568412905737;	351
3.141568412905737;	3.150319299849764;	111
