# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=47356
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	3.3787113205926604;	0.9635569451851171;
-2212;	0.938;	-1;	6.882851288731146;	0.990841162097979;
-2212;	0.938;	-1;	10.481284126234009;	0.9960194092287263;
-2212;	0.938;	-1;	1.1717219286204386;	0.7806664681941115;
-2212;	0.938;	-1;	1.8833743969997043;	0.8951270705048819;
-2212;	0.938;	-1;	6.53263552814888;	0.9898481305838887;
-2212;	0.938;	-1;	1.9793858387221757;	0.9036678512280746;
-2212;	0.938;	-1;	2.749590018594772;	0.9464429106832616;
-2212;	0.938;	-1;	1.8117260142275928;	0.8880374904930752;
-2212;	0.938;	-1;	2.1431419706228048;	0.9160984013605027;
-2212;	0.938;	-1;	4.900846313591562;	0.9821722139776675;
-2212;	0.938;	-1;	2.9899818382018646;	0.9541495424886275;
-2212;	0.938;	-1;	5.47832462075268;	0.98565643304205;
-2212;	0.938;	-1;	2.9883416148787276;	0.9541026095463432;
-2212;	0.938;	-1;	5.566304751257606;	0.9860969368718715;
-2212;	0.938;	-1;	3.15774387494062;	0.9586017331914494;
-2212;	0.938;	-1;	7.787773453022179;	0.9928244541217133;
-2212;	0.938;	-1;	6.613270411867641;	0.9900905374734181;
-2212;	0.938;	-1;	6.914499943059152;	0.9909236774374954;
-2212;	0.938;	-1;	9.372143370306336;	0.9950289280826137;
-2212;	0.938;	-1;	16.008974960340215;	0.9982878879892656;
-2212;	0.938;	-1;	8.468867938370098;	0.9939221289441262;
-2212;	0.938;	-1;	16.82383915589554;	0.9984493478288695;
-2212;	0.938;	-1;	1.562565921426997;	0.857381443326443;
-2212;	0.938;	-1;	12.710152970771123;	0.9972879071411482;
-2212;	0.938;	-1;	4.2378149308085655;	0.9763690244744222;
-2212;	0.938;	-1;	2.710483314664748;	0.9450123912140238;
-2212;	0.938;	-1;	1.0719659475072005;	0.7525663281568861;
-2212;	0.938;	-1;	0.7831159919922464;	0.6408841241188755;
-2212;	0.938;	-1;	3.5228662629095076;	0.9663325950330129;
-2212;	0.938;	-1;	1.8522157099204186;	0.892124300466209;
-2212;	0.938;	-1;	3.3169201206076537;	0.9622631116953901;
-2212;	0.938;	-1;	1.684585492991451;	0.8736902809626805;
-2212;	0.938;	-1;	21.14358805878818;	0.9990173975830354;
-2212;	0.938;	-1;	10.646828852220365;	0.9961415232334642;
-2212;	0.938;	-1;	35.2561513304522;	0.9996462671493911;
-2212;	0.938;	-1;	0.8170108123072791;	0.6568004334566349;
-2212;	0.938;	-1;	0.5255199354780843;	0.48877324252761284;
-2212;	0.938;	-1;	1.1644827533755064;	0.7787720583858636;
-2212;	0.938;	-1;	4.386074134110024;	0.9778878890543382;
-2212;	0.938;	-1;	6.1043573767073145;	0.9883992255818755;
-2212;	0.938;	-1;	5.644043781127588;	0.9864696066506145;
-2212;	0.938;	-1;	22.04871655033431;	0.9990963088281839;
-2212;	0.938;	-1;	2.3789428359130973;	0.930296236419984;
-2212;	0.938;	-1;	2.517371054729318;	0.9370631308728079;
-2212;	0.938;	-1;	4.19344063270222;	0.9758843022484178;
-2212;	0.938;	-1;	2.0156289395372355;	0.9066354078158104;
-2212;	0.938;	-1;	3.2010990035761155;	0.959649026019425;
-2212;	0.938;	-1;	12.300504712017846;	0.9971050522040408;
-2212;	0.938;	-1;	8.147777987907194;	0.9934384506032161;
-2212;	0.938;	-1;	4.440666830450243;	0.9784108602545933;
-2212;	0.938;	-1;	14.34514492116148;	0.9978690371690121;
-2212;	0.938;	-1;	4.508767474504506;	0.9790378949242086;
-2212;	0.938;	-1;	3.921453470983431;	0.9725642407676944;
-2212;	0.938;	-1;	9.080400064895214;	0.9947069389017953;
-2212;	0.938;	-1;	7.1950591643199155;	0.9916089989263571;
-2212;	0.938;	-1;	4.685797425021541;	0.9805468369517573;
-2212;	0.938;	-1;	4.00759178648275;	0.9736853222341315;
-2212;	0.938;	-1;	7.336787812325295;	0.9919261770278018;
-2212;	0.938;	-1;	10.545870160386007;	0.9960677302361436;
-2212;	0.938;	-1;	9.233282340914524;	0.9948794371554713;
-2212;	0.938;	-1;	5.758297550943334;	0.9869908812498219;
-2212;	0.938;	-1;	7.258764483777387;	0.991753828248039;
-2212;	0.938;	-1;	19.826820893227563;	0.9988827734915449;
-2212;	0.938;	-1;	8.351938026240616;	0.9937523559322732;
-2212;	0.938;	-1;	6.09108183203493;	0.9883494838263547;
-2212;	0.938;	-1;	11.773664052834402;	0.9968414265852666;
-2212;	0.938;	-1;	5.747810830830639;	0.9869442948282723;
-2212;	0.938;	-1;	5.234825332909781;	0.9843229567275507;
-2212;	0.938;	-1;	14.472857940167039;	0.9979063622932401;
-2212;	0.938;	-1;	8.247657443045872;	0.993594895237221;
-2212;	0.938;	-1;	20.416307636824513;	0.9989462577224018;
-2212;	0.938;	-1;	0.3714074377896901;	0.36814765925602577;
-2212;	0.938;	-1;	11.310234258503401;	0.9965786366193745;
-2212;	0.938;	-1;	1.369901904977141;	0.8251110866040412;
-2212;	0.938;	-1;	15.012574214884037;	0.9980537615688393;
-2212;	0.938;	-1;	1.3737281095209488;	0.8258445948277772;
-2212;	0.938;	-1;	4.171212481372749;	0.9756359371796002;
-2212;	0.938;	-1;	12.194250633011691;	0.997054606046454;
-2212;	0.938;	-1;	5.732964154982013;	0.9868779133633165;
-2212;	0.938;	-1;	9.820437629714117;	0.9954694100548822;
-2212;	0.938;	-1;	6.359681916784911;	0.9892974093753684;
-2212;	0.938;	-1;	1.443039982940528;	0.8384372414643435;
-2212;	0.938;	-1;	3.5790510249464176;	0.9673305109703133;
-2212;	0.938;	-1;	0.8340600065822362;	0.6644894350869224;
-2212;	0.938;	-1;	6.077529030764621;	0.988298374432182;
-2212;	0.938;	-1;	1.1172782309027998;	0.7658782660157;
-2212;	0.938;	-1;	2.0843153131026027;	0.9119119909745722;
-2212;	0.938;	-1;	6.280667566899238;	0.989030868754998;
-2212;	0.938;	-1;	5.835729283670123;	0.9873273245773235;
-2212;	0.938;	-1;	25.16322475935434;	0.9993059499796713;
-2212;	0.938;	-1;	4.372121254863337;	0.9777512125194668;
