# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=163565326
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.126465527398591;	2.135216414342618;	33638
2.135216414342618;	2.1439673012866454;	32886
2.1439673012866454;	2.1527181882306725;	32546
2.1527181882306725;	2.161469075174699;	32385
2.161469075174699;	2.1702199621187264;	31891
2.1702199621187264;	2.1789708490627535;	31658
2.1789708490627535;	2.1877217360067807;	30837
2.1877217360067807;	2.196472622950808;	30836
2.196472622950808;	2.205223509894835;	30360
2.205223509894835;	2.213974396838862;	30099
2.213974396838862;	2.2227252837828892;	29691
2.2227252837828892;	2.2314761707269164;	29149
2.2314761707269164;	2.2402270576709435;	28542
2.2402270576709435;	2.2489779446149707;	28511
2.2489779446149707;	2.257728831558998;	28453
2.257728831558998;	2.266479718503025;	27724
2.266479718503025;	2.275230605447052;	27430
2.275230605447052;	2.2839814923910793;	26690
2.2839814923910793;	2.2927323793351064;	26393
2.2927323793351064;	2.3014832662791336;	26433
2.3014832662791336;	2.3102341532231607;	26180
2.3102341532231607;	2.318985040167188;	25675
2.318985040167188;	2.3277359271112146;	25350
2.3277359271112146;	2.3364868140552417;	24814
2.3364868140552417;	2.345237700999269;	24635
2.345237700999269;	2.353988587943296;	24462
2.353988587943296;	2.362739474887323;	23968
2.362739474887323;	2.3714903618313503;	23480
2.3714903618313503;	2.3802412487753775;	23301
2.3802412487753775;	2.3889921357194046;	23438
2.3889921357194046;	2.3977430226634318;	23014
2.3977430226634318;	2.406493909607459;	22562
2.406493909607459;	2.415244796551486;	22251
2.415244796551486;	2.423995683495513;	21641
2.423995683495513;	2.4327465704395403;	21694
2.4327465704395403;	2.4414974573835675;	21302
2.4414974573835675;	2.4502483443275946;	20873
2.4502483443275946;	2.458999231271622;	20892
2.458999231271622;	2.467750118215649;	20469
2.467750118215649;	2.476501005159676;	19908
2.476501005159676;	2.485251892103703;	19633
2.485251892103703;	2.49400277904773;	19524
2.49400277904773;	2.502753665991757;	19054
2.502753665991757;	2.5115045529357842;	18934
2.5115045529357842;	2.5202554398798114;	18564
2.5202554398798114;	2.5290063268238385;	18385
2.5290063268238385;	2.5377572137678657;	18123
2.5377572137678657;	2.546508100711893;	17688
2.546508100711893;	2.55525898765592;	17434
2.55525898765592;	2.564009874599947;	17211
2.564009874599947;	2.5727607615439743;	16933
2.5727607615439743;	2.5815116484880014;	16639
2.5815116484880014;	2.5902625354320286;	16273
2.5902625354320286;	2.5990134223760557;	16033
2.5990134223760557;	2.607764309320083;	15875
2.607764309320083;	2.61651519626411;	15680
2.61651519626411;	2.625266083208137;	14939
2.625266083208137;	2.6340169701521643;	14897
2.6340169701521643;	2.642767857096191;	14744
2.642767857096191;	2.651518744040218;	14598
2.651518744040218;	2.6602696309842453;	14248
2.6602696309842453;	2.6690205179282724;	13930
2.6690205179282724;	2.6777714048722996;	13638
2.6777714048722996;	2.6865222918163267;	13359
2.6865222918163267;	2.695273178760354;	12897
2.695273178760354;	2.704024065704381;	12838
2.704024065704381;	2.712774952648408;	12477
2.712774952648408;	2.7215258395924353;	12217
2.7215258395924353;	2.7302767265364625;	12100
2.7302767265364625;	2.7390276134804896;	11657
2.7390276134804896;	2.7477785004245168;	11551
2.7477785004245168;	2.756529387368544;	11026
2.756529387368544;	2.765280274312571;	10958
2.765280274312571;	2.774031161256598;	10609
2.774031161256598;	2.7827820482006254;	10453
2.7827820482006254;	2.7915329351446525;	10103
2.7915329351446525;	2.800283822088679;	9771
2.800283822088679;	2.8090347090327064;	9896
2.8090347090327064;	2.8177855959767335;	9323
2.8177855959767335;	2.8265364829207607;	9410
2.8265364829207607;	2.835287369864788;	8930
2.835287369864788;	2.844038256808815;	8686
