# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=46939
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	6.285636819961523;	0.9890479219186625;
-2212;	0.938;	-1;	6.985747836279878;	0.9911054226461801;
-2212;	0.938;	-1;	3.173791688529825;	0.9589939905478974;
-2212;	0.938;	-1;	5.0494240939021955;	0.9831800027842701;
-2212;	0.938;	-1;	5.34372552440486;	0.9849412004033515;
-2212;	0.938;	-1;	17.349118607297633;	0.9985416223775678;
-2212;	0.938;	-1;	16.07271737101776;	0.9983014065979058;
-2212;	0.938;	-1;	35.73847716499314;	0.9996557457675823;
-2212;	0.938;	-1;	11.3744948682039;	0.9966169902491566;
-2212;	0.938;	-1;	14.409965777156932;	0.9978881050660118;
-2212;	0.938;	-1;	2.9562819762940404;	0.953170954285801;
-2212;	0.938;	-1;	6.449666535887728;	0.9895893526775195;
-2212;	0.938;	-1;	10.345568003620006;	0.9959149304332321;
-2212;	0.938;	-1;	4.7023712140434;	0.9806797816052629;
-2212;	0.938;	-1;	14.204584689446502;	0.9978267930510764;
-2212;	0.938;	-1;	9.097502255034621;	0.9947266638207458;
-2212;	0.938;	-1;	11.9201660502178;	0.9969182325648048;
-2212;	0.938;	-1;	4.417487809214305;	0.9781910821748226;
-2212;	0.938;	-1;	7.90156881189375;	0.9930275038012708;
-2212;	0.938;	-1;	23.950453561561208;	0.9992339644127046;
-2212;	0.938;	-1;	28.59098513557658;	0.9994622665786382;
-2212;	0.938;	-1;	9.333446637583354;	0.9949879322486227;
-2212;	0.938;	-1;	4.633072285008406;	0.9801147517581978;
-2212;	0.938;	-1;	4.340530428034459;	0.9774370945479183;
-2212;	0.938;	-1;	6.382279637742393;	0.9893718626503895;
-2212;	0.938;	-1;	12.108254339134318;	0.9970128073560662;
-2212;	0.938;	-1;	29.7955721450021;	0.9995048354346736;
-2212;	0.938;	-1;	10.846421835105344;	0.9962814381924254;
-2212;	0.938;	-1;	0.2413945567126566;	0.2492294481628704;
-2212;	0.938;	-1;	8.204956071468146;	0.9935287005239944;
-2212;	0.938;	-1;	4.137032849656985;	0.9752465755663912;
-2212;	0.938;	-1;	10.11550898350696;	0.9957282048378056;
-2212;	0.938;	-1;	8.08827112943211;	0.9933425120276097;
-2212;	0.938;	-1;	11.3971476576624;	0.9966303570887551;
-2212;	0.938;	-1;	5.628879132630314;	0.9863980872497512;
-2212;	0.938;	-1;	10.530986288099704;	0.9960566728137903;
-2212;	0.938;	-1;	2.004101542806651;	0.9057058573709731;
-2212;	0.938;	-1;	7.92984400881034;	0.9930766241120658;
-2212;	0.938;	-1;	8.250298346783113;	0.9935989558218634;
-2212;	0.938;	-1;	2.2185394040099897;	0.9210585243835263;
-2212;	0.938;	-1;	6.757563556124452;	0.99050326483056;
-2212;	0.938;	-1;	6.3557245559458435;	0.9892842909220778;
-2212;	0.938;	-1;	11.963153250610745;	0.9969402388421219;
-2212;	0.938;	-1;	0.8630117798158957;	0.6770785322584406;
-2212;	0.938;	-1;	1.9914162268375264;	0.9046676101809817;
-2212;	0.938;	-1;	5.096018877461601;	0.9834786339885525;
