# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63769026
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.6777714048722996;	2.6865222918163267;	8222
2.6865222918163267;	2.695273178760354;	8301
2.695273178760354;	2.704024065704381;	8111
2.704024065704381;	2.712774952648408;	8019
2.712774952648408;	2.7215258395924353;	7660
2.7215258395924353;	2.7302767265364625;	7659
2.7302767265364625;	2.7390276134804896;	7608
2.7390276134804896;	2.7477785004245168;	7353
2.7477785004245168;	2.756529387368544;	7167
2.756529387368544;	2.765280274312571;	7044
2.765280274312571;	2.774031161256598;	6743
2.774031161256598;	2.7827820482006254;	6709
2.7827820482006254;	2.7915329351446525;	6535
2.7915329351446525;	2.800283822088679;	6443
2.800283822088679;	2.8090347090327064;	6125
2.8090347090327064;	2.8177855959767335;	5962
2.8177855959767335;	2.8265364829207607;	5785
2.8265364829207607;	2.835287369864788;	5640
2.835287369864788;	2.844038256808815;	5629
2.844038256808815;	2.852789143752842;	5420
2.852789143752842;	2.8615400306968692;	5219
2.8615400306968692;	2.8702909176408964;	4899
2.8702909176408964;	2.8790418045849235;	4806
2.8790418045849235;	2.8877926915289507;	4654
2.8877926915289507;	2.896543578472978;	4577
2.896543578472978;	2.905294465417005;	4299
2.905294465417005;	2.914045352361032;	4343
2.914045352361032;	2.9227962393050593;	4078
2.9227962393050593;	2.9315471262490864;	3940
2.9315471262490864;	2.9402980131931136;	3752
2.9402980131931136;	2.9490489001371407;	3522
2.9490489001371407;	2.957799787081168;	3467
2.957799787081168;	2.9665506740251946;	3288
2.9665506740251946;	2.9753015609692217;	3102
2.9753015609692217;	2.984052447913249;	2918
2.984052447913249;	2.992803334857276;	2854
2.992803334857276;	3.001554221801303;	2660
3.001554221801303;	3.0103051087453303;	2458
3.0103051087453303;	3.0190559956893575;	2387
3.0190559956893575;	3.0278068826333846;	2228
3.0278068826333846;	3.0365577695774117;	2100
3.0365577695774117;	3.045308656521439;	1921
3.045308656521439;	3.054059543465466;	1746
3.054059543465466;	3.062810430409493;	1570
3.062810430409493;	3.0715613173535203;	1458
3.0715613173535203;	3.0803122042975475;	1305
3.0803122042975475;	3.0890630912415746;	1095
3.0890630912415746;	3.097813978185602;	938
3.097813978185602;	3.106564865129629;	849
3.106564865129629;	3.115315752073656;	665
3.115315752073656;	3.124066639017683;	524
3.124066639017683;	3.13281752596171;	401
3.13281752596171;	3.141568412905737;	248
3.141568412905737;	3.150319299849764;	86
