# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63691355
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.2927323793351064;	2.3014832662791336;	14103
2.3014832662791336;	2.3102341532231607;	14084
2.3102341532231607;	2.318985040167188;	13931
2.318985040167188;	2.3277359271112146;	13628
2.3277359271112146;	2.3364868140552417;	13536
2.3364868140552417;	2.345237700999269;	13311
2.345237700999269;	2.353988587943296;	13002
2.353988587943296;	2.362739474887323;	12965
2.362739474887323;	2.3714903618313503;	12978
2.3714903618313503;	2.3802412487753775;	12294
2.3802412487753775;	2.3889921357194046;	12447
2.3889921357194046;	2.3977430226634318;	12216
2.3977430226634318;	2.406493909607459;	12232
2.406493909607459;	2.415244796551486;	12110
2.415244796551486;	2.423995683495513;	11779
2.423995683495513;	2.4327465704395403;	11673
2.4327465704395403;	2.4414974573835675;	11460
2.4414974573835675;	2.4502483443275946;	11336
2.4502483443275946;	2.458999231271622;	11004
2.458999231271622;	2.467750118215649;	10963
2.467750118215649;	2.476501005159676;	10825
2.476501005159676;	2.485251892103703;	10477
2.485251892103703;	2.49400277904773;	10239
2.49400277904773;	2.502753665991757;	10141
2.502753665991757;	2.5115045529357842;	10110
2.5115045529357842;	2.5202554398798114;	10036
2.5202554398798114;	2.5290063268238385;	9597
2.5290063268238385;	2.5377572137678657;	9573
2.5377572137678657;	2.546508100711893;	9479
2.546508100711893;	2.55525898765592;	9290
2.55525898765592;	2.564009874599947;	9158
2.564009874599947;	2.5727607615439743;	9039
2.5727607615439743;	2.5815116484880014;	8959
2.5815116484880014;	2.5902625354320286;	8676
2.5902625354320286;	2.5990134223760557;	8501
2.5990134223760557;	2.607764309320083;	8457
2.607764309320083;	2.61651519626411;	8169
2.61651519626411;	2.625266083208137;	8323
2.625266083208137;	2.6340169701521643;	8114
2.6340169701521643;	2.642767857096191;	7883
2.642767857096191;	2.651518744040218;	7634
2.651518744040218;	2.6602696309842453;	7638
2.6602696309842453;	2.6690205179282724;	7531
2.6690205179282724;	2.6777714048722996;	7338
2.6777714048722996;	2.6865222918163267;	7134
2.6865222918163267;	2.695273178760354;	7020
2.695273178760354;	2.704024065704381;	6789
2.704024065704381;	2.712774952648408;	6526
2.712774952648408;	2.7215258395924353;	6637
2.7215258395924353;	2.7302767265364625;	6416
2.7302767265364625;	2.7390276134804896;	6258
2.7390276134804896;	2.7477785004245168;	6243
2.7477785004245168;	2.756529387368544;	5955
2.756529387368544;	2.765280274312571;	5826
2.765280274312571;	2.774031161256598;	5735
2.774031161256598;	2.7827820482006254;	5753
2.7827820482006254;	2.7915329351446525;	5425
2.7915329351446525;	2.800283822088679;	5280
2.800283822088679;	2.8090347090327064;	5089
2.8090347090327064;	2.8177855959767335;	5057
2.8177855959767335;	2.8265364829207607;	4928
2.8265364829207607;	2.835287369864788;	4679
2.835287369864788;	2.844038256808815;	4660
2.844038256808815;	2.852789143752842;	4598
2.852789143752842;	2.8615400306968692;	4172
2.8615400306968692;	2.8702909176408964;	4236
2.8702909176408964;	2.8790418045849235;	4012
2.8790418045849235;	2.8877926915289507;	4009
2.8877926915289507;	2.896543578472978;	3867
2.896543578472978;	2.905294465417005;	3865
2.905294465417005;	2.914045352361032;	3567
2.914045352361032;	2.9227962393050593;	3433
2.9227962393050593;	2.9315471262490864;	3325
2.9315471262490864;	2.9402980131931136;	3242
2.9402980131931136;	2.9490489001371407;	2986
2.9490489001371407;	2.957799787081168;	2789
2.957799787081168;	2.9665506740251946;	2714
2.9665506740251946;	2.9753015609692217;	2657
2.9753015609692217;	2.984052447913249;	2577
2.984052447913249;	2.992803334857276;	2419
2.992803334857276;	3.001554221801303;	2194
3.001554221801303;	3.0103051087453303;	2211
3.0103051087453303;	3.0190559956893575;	2008
3.0190559956893575;	3.0278068826333846;	1927
3.0278068826333846;	3.0365577695774117;	1725
3.0365577695774117;	3.045308656521439;	1547
3.045308656521439;	3.054059543465466;	1524
3.054059543465466;	3.062810430409493;	1343
3.062810430409493;	3.0715613173535203;	1210
3.0715613173535203;	3.0803122042975475;	1103
3.0803122042975475;	3.0890630912415746;	944
3.0890630912415746;	3.097813978185602;	858
3.097813978185602;	3.106564865129629;	705
3.106564865129629;	3.115315752073656;	601
3.115315752073656;	3.124066639017683;	464
3.124066639017683;	3.13281752596171;	321
3.13281752596171;	3.141568412905737;	182
3.141568412905737;	3.150319299849764;	60
