# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=427
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	3.201731707742546;	0.959664020373693;
-2212;	0.938;	-1;	9.835775524424598;	0.9954834335193948;
-2212;	0.938;	-1;	2.317546722425462;	0.9269544116841218;
-2212;	0.938;	-1;	1.0898261403389076;	0.7579274442974004;
-2212;	0.938;	-1;	1.4365951335612968;	0.8373197527334043;
-2212;	0.938;	-1;	1.4399309313303885;	0.8378994702958492;
-2212;	0.938;	-1;	7.579839161064039;	0.9924298877699748;
-2212;	0.938;	-1;	4.740706434695139;	0.9809821593019048;
-2212;	0.938;	-1;	2.6215597158479915;	0.9415450978982945;
-2212;	0.938;	-1;	3.2128448452678198;	0.9599260596973748;
-2212;	0.938;	-1;	1.4298875562732198;	0.8361454561865279;
-2212;	0.938;	-1;	0.8828068629354895;	0.6853578378261821;
-2212;	0.938;	-1;	9.742219878000085;	0.995396871715535;
-2212;	0.938;	-1;	5.768649940044555;	0.9870366283553691;
-2212;	0.938;	-1;	6.210887824123375;	0.9887871597524007;
-2212;	0.938;	-1;	3.907227616001018;	0.9723723131713371;
-2212;	0.938;	-1;	1.9274357457772748;	0.8991747838537087;
-2212;	0.938;	-1;	3.2608727859407516;	0.9610302358386498;
-2212;	0.938;	-1;	1.9784121914393875;	0.903586286163815;
-2212;	0.938;	-1;	0.5600108528975131;	0.5126172414972359;
-2212;	0.938;	-1;	5.180733413342651;	0.9840017356918226;
-2212;	0.938;	-1;	4.1804965647110635;	0.9757401311609166;
-2212;	0.938;	-1;	3.804062906477362;	0.9709191163622077;
-2212;	0.938;	-1;	2.192530548850403;	0.919396260288643;
-2212;	0.938;	-1;	5.886777295439331;	0.9875420852040152;
-2212;	0.938;	-1;	3.5866393934044107;	0.9674619378158968;
-2212;	0.938;	-1;	3.539826353376109;	0.9666385123067355;
-2212;	0.938;	-1;	0.9782213577738936;	0.7217899204840477;
-2212;	0.938;	-1;	1.0022855153802233;	0.7301339996320433;
-2212;	0.938;	-1;	3.1967492615399165;	0.9595457201712159;
-2212;	0.938;	-1;	1.030980246352955;	0.7396738933361726;
-2212;	0.938;	-1;	8.663575644379247;	0.9941899012286782;
-2212;	0.938;	-1;	1.4525212840030952;	0.8400622193506933;
-2212;	0.938;	-1;	4.440656095761638;	0.9784107592326178;
-2212;	0.938;	-1;	1.3791827162616996;	0.8268830784571013;
-2212;	0.938;	-1;	3.4475293444923714;	0.9649224585338695;
-2212;	0.938;	-1;	2.3324321454063783;	0.9277855469902587;
-2212;	0.938;	-1;	1.0279070349374986;	0.7386729006355467;
-2212;	0.938;	-1;	2.134455379851556;	0.9154984052233388;
-2212;	0.938;	-1;	4.79675549552153;	0.9814117591197895;
-2212;	0.938;	-1;	0.6007578720691057;	0.5393325411849371;
-2212;	0.938;	-1;	0.5148040704947855;	0.48113218499134813;
-2212;	0.938;	-1;	4.07751799562062;	0.9745462653215583;
-2212;	0.938;	-1;	1.7794151703638474;	0.8846177240917087;
-2212;	0.938;	-1;	0.9504719346729813;	0.7117611669164561;
-2212;	0.938;	-1;	5.009714295934649;	0.9829191167975204;
-2212;	0.938;	-1;	2.7408859363718516;	0.9461292513736606;
-2212;	0.938;	-1;	1.0781670768215843;	0.75444493476262;
-2212;	0.938;	-1;	9.256717740531403;	0.9949051344187173;
-2212;	0.938;	-1;	3.6628695636553057;	0.9687400071567737;
-2212;	0.938;	-1;	4.881338505224259;	0.9820332600692274;
-2212;	0.938;	-1;	2.093818632777443;	0.9126082717087426;
-2212;	0.938;	-1;	1.7378234505625465;	0.87999528717606;
-2212;	0.938;	-1;	1.8026128265218242;	0.8870875824913061;
-2212;	0.938;	-1;	2.7983328265817558;	0.9481511150051494;
-2212;	0.938;	-1;	6.363250426489987;	0.9893092182728551;
-2212;	0.938;	-1;	5.602014379088472;	0.9862699980150723;
-2212;	0.938;	-1;	2.3562094193617424;	0.9290850985163629;
-2212;	0.938;	-1;	1.8679784125532608;	0.8936583532585264;
-2212;	0.938;	-1;	5.654785070371463;	0.9865199262211299;
-2212;	0.938;	-1;	4.730040449395089;	0.9808987387642975;
-2212;	0.938;	-1;	5.322746330375044;	0.9848249540144107;
-2212;	0.938;	-1;	1.383071568995618;	0.8276183354844134;
-2212;	0.938;	-1;	6.53368846527396;	0.9898513527332037;
-2212;	0.938;	-1;	4.025924709871013;	0.9739151616257956;
-2212;	0.938;	-1;	3.1636132332321156;	0.958745834726438;
-2212;	0.938;	-1;	2.2822068268371294;	0.9249250678457205;
-2212;	0.938;	-1;	2.0741357939056666;	0.911157328515027;
-2212;	0.938;	-1;	3.662498673896721;	0.9687339694812294;
-2212;	0.938;	-1;	1.9514100782833934;	0.9012845123099271;
-2212;	0.938;	-1;	6.571180465531669;	0.9899650966382549;
-2212;	0.938;	-1;	2.4568267265446297;	0.9342261300421324;
-2212;	0.938;	-1;	5.731815891746786;	0.9868727583850763;
-2212;	0.938;	-1;	4.772559889003489;	0.9812280938798731;
-2212;	0.938;	-1;	1.6979727346532982;	0.8753186388477733;
-2212;	0.938;	-1;	4.391189871644599;	0.9779376887978511;
-2212;	0.938;	-1;	5.535624346391381;	0.9859456410601578;
-2212;	0.938;	-1;	7.432727585287921;	0.9921308237073141;
-2212;	0.938;	-1;	3.026994281750456;	0.9551901831851931;
-2212;	0.938;	-1;	7.982601352262369;	0.9931669027192357;
-2212;	0.938;	-1;	3.707402845557655;	0.969452633995372;
-2212;	0.938;	-1;	4.094279175062443;	0.9747464322518546;
-2212;	0.938;	-1;	1.2893797148420474;	0.8086557375798332;
-2212;	0.938;	-1;	2.0600083462279954;	0.9100945752589874;
-2212;	0.938;	-1;	3.702471816203771;	0.9693749147441182;
-2212;	0.938;	-1;	5.778760299143753;	0.98708107492701;
-2212;	0.938;	-1;	5.614533309423411;	0.9863299099553712;
-2212;	0.938;	-1;	4.538078194207342;	0.9792994795727793;
-2212;	0.938;	-1;	0.8905569360630459;	0.6885287379592803;
-2212;	0.938;	-1;	3.091769739482712;	0.9569298542584218;
-2212;	0.938;	-1;	3.5866393934044107;	0.9674619378158968;
-2212;	0.938;	-1;	3.7827648970012664;	0.9706050660378205;
-2212;	0.938;	-1;	3.9244055097287025;	0.9726038209462556;
-2212;	0.938;	-1;	2.1257627470922054;	0.9148918140571415;
-2212;	0.938;	-1;	2.2852771822606663;	0.9251045824033484;
-2212;	0.938;	-1;	2.167687773440631;	0.917761147567848;
