# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=49248
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	0.975868956931206;	0.7209569023504389;
-2212;	0.938;	-1;	0.7120451031844822;	0.6046337838270333;
-2212;	0.938;	-1;	2.41975830919123;	0.9323968445472205;
-2212;	0.938;	-1;	0.98240556761757;	0.7232638929111752;
-2212;	0.938;	-1;	1.125873554148067;	0.7682977797491743;
-2212;	0.938;	-1;	1.5705896558646373;	0.8585411140468869;
-2212;	0.938;	-1;	1.7387346098936434;	0.880099317424395;
-2212;	0.938;	-1;	1.4598405892836384;	0.8413013852933253;
-2212;	0.938;	-1;	2.4667612618301757;	0.9347041994328735;
-2212;	0.938;	-1;	1.7145516614135605;	0.877294755471857;
-2212;	0.938;	-1;	2.8855551731250957;	0.9510152171666625;
-2212;	0.938;	-1;	0.8357239465337821;	0.6652287711934087;
-2212;	0.938;	-1;	1.2183433106148693;	0.792368442085083;
-2212;	0.938;	-1;	0.8833004619176874;	0.6855609630716047;
-2212;	0.938;	-1;	0.5971954083488922;	0.5370587487691139;
-2212;	0.938;	-1;	1.1167344645621895;	0.7657240962499224;
-2212;	0.938;	-1;	0.9959832053325045;	0.7279796082484762;
-2212;	0.938;	-1;	1.3697862047389;	0.8250888408952479;
-2212;	0.938;	-1;	1.0203425262846786;	0.736188049352246;
-2212;	0.938;	-1;	3.282236129675361;	0.9615070575053152;
-2212;	0.938;	-1;	0.5070069289906105;	0.475502447228799;
-2212;	0.938;	-1;	1.359951574469106;	0.8231838267349532;
-2212;	0.938;	-1;	0.8804927204951782;	0.6844033879442974;
-2212;	0.938;	-1;	2.1683295993499234;	0.9178039885383135;
-2212;	0.938;	-1;	3.2582303137930566;	0.9609706540629955;
-2212;	0.938;	-1;	0.7094707369899057;	0.603244177568945;
-2212;	0.938;	-1;	1.0324741845402239;	0.7401587259298882;
-2212;	0.938;	-1;	1.2887548447886472;	0.8085200467868676;
-2212;	0.938;	-1;	1.3624936702268529;	0.8236789268444894;
-2212;	0.938;	-1;	0.7537045031064629;	0.6263681332045801;
-2212;	0.938;	-1;	1.6532723606850142;	0.8697635417196256;
-2212;	0.938;	-1;	0.27700903637426705;	0.2832264056454429;
-2212;	0.938;	-1;	1.5375305503566425;	0.8536773539162419;
-2212;	0.938;	-1;	0.9129300676142997;	0.6974653961913415;
-2212;	0.938;	-1;	1.265170145665396;	0.8033029532202023;
-2212;	0.938;	-1;	1.8433719087026361;	0.8912498679081524;
-2212;	0.938;	-1;	1.8552744522945925;	0.892424420059252;
-2212;	0.938;	-1;	0.8249520815477708;	0.6604077365365009;
-2212;	0.938;	-1;	1.018848524479964;	0.7356937361493588;
-2212;	0.938;	-1;	0.6084262554336393;	0.5441872164172854;
-2212;	0.938;	-1;	0.6084277335493592;	0.544188146956778;
-2212;	0.938;	-1;	1.0115992490492467;	0.7332784186808343;
-2212;	0.938;	-1;	1.7283918137032357;	0.8789109600271069;
-2212;	0.938;	-1;	2.77657857811534;	0.947398705020285;
-2212;	0.938;	-1;	1.2583493676503357;	0.8017587646213793;
-2212;	0.938;	-1;	1.955254817374963;	0.9016169964150987;
-2212;	0.938;	-1;	2.946400971548016;	0.9528782270471259;
-2212;	0.938;	-1;	1.5191805579265423;	0.8508774684833766;
-2212;	0.938;	-1;	0.3489814927584126;	0.3486970576206948;
-2212;	0.938;	-1;	0.9466573499308818;	0.710347447849907;
-2212;	0.938;	-1;	1.3155243966715326;	0.8142192143643419;
-2212;	0.938;	-1;	1.8594520415834876;	0.8928324143202232;
-2212;	0.938;	-1;	2.0882322113048164;	0.912199929166732;
-2212;	0.938;	-1;	0.999143335968869;	0.7290625808145005;
-2212;	0.938;	-1;	0.7943488113681545;	0.6462534436000438;
-2212;	0.938;	-1;	1.4123260768448622;	0.8330156209522319;
-2212;	0.938;	-1;	1.0417520673883973;	0.7431440360811181;
-2212;	0.938;	-1;	0.8483776001352523;	0.6707876367303885;
-2212;	0.938;	-1;	0.8196117319232381;	0.6579868987500748;
-2212;	0.938;	-1;	1.3534778498917384;	0.821914468255448;
-2212;	0.938;	-1;	1.0899785873883028;	0.7579725554154945;
-2212;	0.938;	-1;	2.1835558884951856;	0.9188109946648187;
-2212;	0.938;	-1;	1.3053070186870368;	0.8120712163038886;
-2212;	0.938;	-1;	1.645978048477561;	0.8688243848116043;
-2212;	0.938;	-1;	3.239631474268794;	0.9605474784317445;
-2212;	0.938;	-1;	2.004227994752593;	0.9057161257014895;
-2212;	0.938;	-1;	0.2644838418260934;	0.27138387829794725;
-2212;	0.938;	-1;	2.590536968279935;	0.9402603938042278;
-2212;	0.938;	-1;	0.9105539066408974;	0.6965313635350615;
-2212;	0.938;	-1;	1.1977650573750305;	0.7873075958470221;
-2212;	0.938;	-1;	1.537751858008632;	0.8537106768935477;
-2212;	0.938;	-1;	3.189999054940299;	0.9593846326359019;
-2212;	0.938;	-1;	1.7690518940764175;	0.883489712856978;
-2212;	0.938;	-1;	0.713516878009203;	0.6054257552403322;
-2212;	0.938;	-1;	0.46688328831536685;	0.44559670178408045;
-2212;	0.938;	-1;	1.6787376783166572;	0.872969636556414;
-2212;	0.938;	-1;	0.9077805729040471;	0.6954367122327951;
-2212;	0.938;	-1;	0.8265619571757764;	0.6611334980126682;
-2212;	0.938;	-1;	1.1008065100852193;	0.7611490383110175;
-2212;	0.938;	-1;	0.4947824240401027;	0.46655716782277457;
-2212;	0.938;	-1;	2.222116497986773;	0.921283277555904;
-2212;	0.938;	-1;	2.0747748308009233;	0.9112049752956349;
-2212;	0.938;	-1;	0.8106569285838492;	0.6538813374638281;
